Markdown File,HTML File,Total Images,Missing Images,Missing Image Names
"_posts/pt/2010-06-08-editorial-preview-de-verao-9o-caixa-de-criadores.md","NOT_FOUND",12,12,"editorial-preview-de-verao-9o-caixa-de-criadores-01.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-02.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-03.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-04.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-05.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-06.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-01.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-02.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-03.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-04.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-05.jpg; editorial-preview-de-verao-9o-caixa-de-criadores-06.jpg"
"_posts/pt/2010-06-11-clipping-caixa-de-criadores-2010.md","NOT_FOUND",4,4,"clipping-caixa-de-criadores-2010-01.jpg; clipping-caixa-de-criadores-2010-02.jpg; clipping-caixa-de-criadores-2010-01.jpg; clipping-caixa-de-criadores-2010-02.jpg"
"_posts/pt/2010-10-02-editorial-anjos-de-asteroides-revista-latitude-hangar.md","NOT_FOUND",18,18,"editorial-anjos-de-asteroides-revista-latitude-hangar-01.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-02.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-03.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-04.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-05.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-06.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-07.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-08.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-09.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-01.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-02.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-03.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-04.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-05.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-06.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-07.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-08.jpg; editorial-anjos-de-asteroides-revista-latitude-hangar-09.jpg"
"_posts/pt/2010-12-07-caixa-de-criadores-edicao-10.md","NOT_FOUND",24,24,"caixa-de-criadores-edicao-10-01.jpg; caixa-de-criadores-edicao-10-02.jpg; caixa-de-criadores-edicao-10-03.jpg; caixa-de-criadores-edicao-10-04.jpg; caixa-de-criadores-edicao-10-05.jpg; caixa-de-criadores-edicao-10-06.jpg; caixa-de-criadores-edicao-10-07.jpg; caixa-de-criadores-edicao-10-08.jpg; caixa-de-criadores-edicao-10-09.jpg; caixa-de-criadores-edicao-10-10.jpg; caixa-de-criadores-edicao-10-11.jpg; caixa-de-criadores-edicao-10-12.jpg; caixa-de-criadores-edicao-10-01.jpg; caixa-de-criadores-edicao-10-02.jpg; caixa-de-criadores-edicao-10-03.jpg; caixa-de-criadores-edicao-10-04.jpg; caixa-de-criadores-edicao-10-05.jpg; caixa-de-criadores-edicao-10-06.jpg; caixa-de-criadores-edicao-10-07.jpg; caixa-de-criadores-edicao-10-08.jpg; caixa-de-criadores-edicao-10-09.jpg; caixa-de-criadores-edicao-10-10.jpg; caixa-de-criadores-edicao-10-11.jpg; caixa-de-criadores-edicao-10-12.jpg"
"_posts/pt/2010-12-07-styling-para-yorrana-maia.md","NOT_FOUND",6,6,"styling-para-yorrana-maia-01.jpg; styling-para-yorrana-maia-02.jpg; styling-para-yorrana-maia-03.jpg; styling-para-yorrana-maia-01.jpg; styling-para-yorrana-maia-02.jpg; styling-para-yorrana-maia-03.jpg"
"_posts/pt/2011-06-29-caixa-de-criadores-verao-2011.md","NOT_FOUND",16,16,"caixa-de-criadores-verao-2011-01.jpg; caixa-de-criadores-verao-2011-02.jpg; caixa-de-criadores-verao-2011-03.jpg; caixa-de-criadores-verao-2011-04.jpg; caixa-de-criadores-verao-2011-05.jpg; caixa-de-criadores-verao-2011-06.jpg; caixa-de-criadores-verao-2011-07.jpg; caixa-de-criadores-verao-2011-08.jpg; caixa-de-criadores-verao-2011-01.jpg; caixa-de-criadores-verao-2011-02.jpg; caixa-de-criadores-verao-2011-03.jpg; caixa-de-criadores-verao-2011-04.jpg; caixa-de-criadores-verao-2011-05.jpg; caixa-de-criadores-verao-2011-06.jpg; caixa-de-criadores-verao-2011-07.jpg; caixa-de-criadores-verao-2011-08.jpg"
"_posts/pt/2012-09-18-caixa-de-criadores-2012.md","NOT_FOUND",24,24,"caixa-de-criadores-2012-01.jpg; caixa-de-criadores-2012-02.jpg; caixa-de-criadores-2012-03.jpg; caixa-de-criadores-2012-04.jpg; caixa-de-criadores-2012-05.png; caixa-de-criadores-2012-06.jpg; caixa-de-criadores-2012-07.jpg; caixa-de-criadores-2012-08.jpg; caixa-de-criadores-2012-09.jpg; caixa-de-criadores-2012-10.jpg; caixa-de-criadores-2012-11.png; caixa-de-criadores-2012-12.png; caixa-de-criadores-2012-01.jpg; caixa-de-criadores-2012-02.jpg; caixa-de-criadores-2012-03.jpg; caixa-de-criadores-2012-04.jpg; caixa-de-criadores-2012-05.png; caixa-de-criadores-2012-06.jpg; caixa-de-criadores-2012-07.jpg; caixa-de-criadores-2012-08.jpg; caixa-de-criadores-2012-09.jpg; caixa-de-criadores-2012-10.jpg; caixa-de-criadores-2012-11.png; caixa-de-criadores-2012-12.png"
"_posts/pt/2012-10-02-desfile-mudamoda-no-parque-shopping-belem.md","NOT_FOUND",12,12,"desfile-mudamoda-no-parque-shopping-belem-01.jpg; desfile-mudamoda-no-parque-shopping-belem-02.jpg; desfile-mudamoda-no-parque-shopping-belem-03.jpg; desfile-mudamoda-no-parque-shopping-belem-04.jpg; desfile-mudamoda-no-parque-shopping-belem-05.jpg; desfile-mudamoda-no-parque-shopping-belem-06.jpg; desfile-mudamoda-no-parque-shopping-belem-01.jpg; desfile-mudamoda-no-parque-shopping-belem-02.jpg; desfile-mudamoda-no-parque-shopping-belem-03.jpg; desfile-mudamoda-no-parque-shopping-belem-04.jpg; desfile-mudamoda-no-parque-shopping-belem-05.jpg; desfile-mudamoda-no-parque-shopping-belem-06.jpg"
"_posts/pt/2012-11-09-palestra-no-london-college-of-fashion.md","NOT_FOUND",6,6,"palestra-no-london-college-of-fashion-01.jpg; palestra-no-london-college-of-fashion-02.jpg; palestra-no-london-college-of-fashion-03.jpg; palestra-no-london-college-of-fashion-01.jpg; palestra-no-london-college-of-fashion-02.jpg; palestra-no-london-college-of-fashion-03.jpg"
"_posts/pt/2013-07-25-palestra-vitoria-moda-2013.md","NOT_FOUND",6,6,"palestra-vitoria-moda-2013-01.png; palestra-vitoria-moda-2013-02.jpg; palestra-vitoria-moda-2013-03.png; palestra-vitoria-moda-2013-01.png; palestra-vitoria-moda-2013-02.jpg; palestra-vitoria-moda-2013-03.png"
